country_code	no_of_refugees	distance_to_UA	distance_to_RU
PL	9997100	941	4964
AT	8168500	1239	5550
NO	8034500	1972	4730
FI	7099500	1544	3924
FR	7011500	2183	6221
PT	6576500	3270	7311
HU	6366500	881	5345
LV	4855500	1043	4326
CZ	4013500	1151	5309
ES	2356800	2880	7022
NL	1240300	1875	5558
RS	1096500	919	5543
BE	900300	1934	5737
BG	773600	767	5429
IS	571500	3445	5221
EE	427300	1205	4183
TR	351700	1097	5251
GR	335600	1276	5940
HR	262500	1267	5731
SI	132500	1243	5648
BA	27500	1149	5716
IT	17100	1623	6146
